model,ins_id,param_id,length,format,ori,hit,num,correct,total_score
gpt-oss-120b,2,3,28,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,2,4,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,0,28,0.16666666666666666,1.0,0.75,0.5833333333333334,0.5,0.5595238095238095
gpt-oss-120b,3,1,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,2,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,3,28,0.6666666666666666,1.0,0.0,0.25,0.0,0.35714285714285715
gpt-oss-120b,3,4,28,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,4,0,28,1.0,1.0,0.125,0.5833333333333334,0.0,0.5416666666666667
gpt-oss-120b,4,1,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,2,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,3,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,4,28,1.0,1.0,0.125,0.5833333333333334,0.125,0.568452380952381
gpt-oss-120b,0,0,60,1.0,1.0,1.0,0.08333333333333333,0.0,0.5238095238095238
gpt-oss-120b,0,1,60,1.0,1.0,0.0,0.08333333333333333,0.0,0.38095238095238093
gpt-oss-120b,0,2,60,1.0,1.0,1.0,0.3333333333333333,0.20000000000000004,0.6380952380952382
gpt-oss-120b,0,3,60,1.0,1.0,0.125,0.5833333333333334,0.125,0.568452380952381
gpt-oss-120b,0,4,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,0,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,1,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,2,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,3,60,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,1,4,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,2,0,60,1.0,1.0,1.0,1.0,0.3333333333333333,0.8571428571428571
gpt-oss-120b,2,1,60,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,2,2,60,1.0,1.0,1.0,1.0,0.5,0.8928571428571429
gpt-oss-120b,2,3,60,1.0,1.0,0.6875,0.5833333333333334,0.125,0.6488095238095238
gpt-oss-120b,2,4,60,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,3,0,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,1,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,2,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,3,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,4,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,0,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,1,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,2,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,3,60,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,4,60,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,0,0,120,1.0,1.0,0.25,0.5833333333333334,0.25,0.6130952380952381
gpt-oss-120b,0,1,120,1.0,1.0,0.0,0.5833333333333334,0.16666666666666666,0.5595238095238095
gpt-oss-120b,0,2,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,3,120,1.0,1.0,1.0,1.0,0.16666666666666666,0.8214285714285714
gpt-oss-120b,0,4,120,1.0,1.0,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.6547619047619048
gpt-oss-120b,1,0,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,1,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,2,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,3,120,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,1,4,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,2,0,120,1.0,1.0,0.125,0.5833333333333334,0.125,0.568452380952381
gpt-oss-120b,2,1,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,2,2,120,1.0,1.0,1.0,0.08333333333333333,0.3333333333333333,0.5952380952380952
gpt-oss-120b,2,3,120,1.0,1.0,0.5625,0.5833333333333334,0.125,0.630952380952381
gpt-oss-120b,2,4,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,0,120,1.0,1.0,0.25,0.5833333333333334,0.25,0.6130952380952381
gpt-oss-120b,3,1,120,1.0,1.0,0.75,1.0,0.5,0.8571428571428571
gpt-oss-120b,3,2,120,1.0,1.0,0.25,0.5833333333333334,0.25,0.6130952380952381
gpt-oss-120b,3,3,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,4,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,0,120,1.0,1.0,0.0,0.08333333333333333,0.0,0.38095238095238093
gpt-oss-120b,4,1,120,1.0,1.0,0.0,0.08333333333333333,0.0,0.38095238095238093
gpt-oss-120b,4,2,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,3,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,4,120,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
claude-opus-4-5-20251101,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,0,3,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,0,4,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,1,0,3,1.0,1.0,0.8333333333333334,0.5833333333333334,1.0,0.8571428571428571
claude-opus-4-5-20251101,1,1,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
claude-opus-4-5-20251101,1,2,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,1,3,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,1,4,3,1.0,1.0,1.0,1.0,1.0,1.0
claude-opus-4-5-20251101,2,0,3,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
